genome_id,genome_name,freq,Domain,Genome.Name...Sample.Name,Phylum,Class,Order,Family,Genus,Species,Strain,Genome.Size
637000082,Corynebacterium diphtheriae bv. Gravis,3,Bacteria,Corynebacterium diphtheriae bv. Gravis,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,NCTC 13129,2488635
637000085,Corynebacterium jeikeium K411,3,Bacteria,Corynebacterium jeikeium K411,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium jeikeium,K411,2476822
637000168,Mycobacterium avium paratuberculosis K-10,1,Bacteria,Mycobacterium avium paratuberculosis K-10,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium,K-10,4829781
637000169,Mycobacterium bovis AF 2122/97,3,Bacteria,Mycobacterium bovis AF 2122/97,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium bovis,AF 2122/97,4345492
637000170,Mycobacterium leprae TN,1,Bacteria,Mycobacterium leprae TN,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium leprae,TN,3268203
637000171,Mycobacterium sp. MCS,2,Bacteria,Mycobacterium sp. MCS,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. MCS,MCS,5920523
637000172,Mycobacterium tuberculosis CDC1551,3,Bacteria,Mycobacterium tuberculosis CDC1551,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,CDC1551,4403837
637000173,Mycobacterium tuberculosis H37Rv,4,Bacteria,Mycobacterium tuberculosis H37Rv,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,H37Rv,4411532
637000198,Nocardia farcinica IFM 10152,4,Bacteria,Nocardia farcinica IFM 10152,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,Nocardia farcinica,IFM 10152,6292344
637000234,Rhodococcus jostii RHA1,7,Bacteria,Rhodococcus jostii RHA1,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus jostii,RHA1,9702737
