"taxon_oid"	"Domain"	"Status"	"Study.Name"	"Genome.Name...Sample.Name"	"Sequencing.Center"	"IMG.Genome.ID"	"Species"	"NCBI.Taxon.ID"	"NCBI.Project.ID"	"JGI.Project.ID...ITS.PID"	"Strain"	"Ecosystem"	"Ecosystem.Category"	"Ecotype"	"Genome.Size"	"Gene.Count"	"X"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
637000082	"Bacteria"	"Finished"	"Corynebacterium diphtheriae gravis NCTC 13129"	"Corynebacterium diphtheriae bv. Gravis"	"Wellcome Trust Sanger Institute"	637000082	"Corynebacterium diphtheriae"	257309	87	0	"NCTC 13129"	"Host-associated"	"Human"	NA	2488635	2395	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
637000085	"Bacteria"	"Finished"	"Corynebacterium jeikeium K411"	"Corynebacterium jeikeium K411"	"Bielefeld University, J. Craig Venter Institute (JCVI)"	637000085	"Corynebacterium jeikeium"	306537	13967	0	"K411"	"Host-associated"	"Human"	NA	2476822	2186	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
637000168	"Bacteria"	"Finished"	"Mycobacterium avium paratuberculosis K-10"	"Mycobacterium avium paratuberculosis K-10"	"University of Minnesota"	637000168	"Mycobacterium avium"	262316	91	0	"K-10"	"Host-associated"	"Mammals"	NA	4829781	4415	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
637000169	"Bacteria"	"Finished"	"Mycobacterium bovis AF2122/97"	"Mycobacterium bovis AF 2122/97"	"Wellcome Trust Sanger Institute, Institut Pasteur"	637000169	"Mycobacterium bovis"	233413	89	0	"AF 2122/97"	"Host-associated"	"Mammals"	NA	4345492	4014	NA	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"
637000170	"Bacteria"	"Finished"	"Mycobacterium leprae TN"	"Mycobacterium leprae TN"	"Wellcome Trust Sanger Institute, Institut Pasteur"	637000170	"Mycobacterium leprae"	272631	90	0	"TN"	"Host-associated"	"Mammals"	NA	3268203	2750	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
637000171	"Bacteria"	"Finished"	"Mycobacteria, 5 strains"	"Mycobacterium sp. MCS"	"DOE Joint Genome Institute (JGI)"	637000171	"Mycobacterium sp. MCS"	164756	15762	16185	"MCS"	"Environmental"	"Terrestrial"	NA	5920523	5704	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
637000172	"Bacteria"	"Finished"	"Mycobacterium tuberculosis sequencing- JCVI"	"Mycobacterium tuberculosis CDC1551"	"J. Craig Venter Institute (JCVI)"	637000172	"Mycobacterium tuberculosis"	83331	223	0	"CDC1551"	"Engineered"	"Industrial production"	NA	4403837	4300	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
637000173	"Bacteria"	"Finished"	"Mycobacterium tuberculosis H37Rv (lab strain)"	"Mycobacterium tuberculosis H37Rv"	"Wellcome Trust Sanger Institute"	637000173	"Mycobacterium tuberculosis"	83332	224	0	"H37Rv"	"Host-associated"	"Human"	NA	4411532	4062	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
637000198	"Bacteria"	"Finished"	"Nocardia farcinica IFM 10152"	"Nocardia farcinica IFM 10152"	"Chiba University, National Institute of Infectious Diseases, Japan, Kitasato University"	637000198	"Nocardia farcinica"	247156	13117	0	"IFM 10152"	"Host-associated"	"Human"	NA	6292344	6011	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiaceae"	"Nocardia"
637000234	"Bacteria"	"Finished"	"Rhodococcus jostii RHA1"	"Rhodococcus jostii RHA1"	"Genome British Columbia"	637000234	"Rhodococcus jostii"	101510	13693	0	"RHA1"	"Environmental"	"Terrestrial"	NA	9702737	9242	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiaceae"	"Rhodococcus"
